ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,pre_close
000001.SZ,20160104,12,12.03,11.23,11.33,-0.66,-5.5,563497.87,660376.1531,11.99
000001.SZ,20160105,11.27,11.57,11.15,11.4,0.07,0.62,663269.95,755531.3537,11.33
000001.SZ,20160106,11.42,11.56,11.39,11.53,0.13,1.14,515706.44,591698.5204,11.4
000001.SZ,20160107,11.41,11.41,10.91,10.94,-0.59,-5.12,174761.1,194869.4935,11.53
000001.SZ,20160108,11.21,11.29,10.9,11.12,0.18,1.65,747527.58,831334.5462,10.94
000001.SZ,20160111,11,11.08,10.68,10.76,-0.36,-3.24,732013.99,800683.641,11.12
000001.SZ,20160112,10.83,10.91,10.64,10.81,0.05,0.46,561642.3,605970.837,10.76
000001.SZ,20160113,10.89,10.94,10.7,10.71,-0.1,-0.93,391709.48,424371.6977,10.81
000001.SZ,20160114,10.59,10.8,10.48,10.77,0.06,0.56,666314.54,708535.0047,10.71
000001.SZ,20160115,10.66,10.8,10.42,10.46,-0.31,-2.88,448202.14,474908.142,10.77
000001.SZ,20160118,10.34,10.56,10.3,10.41,-0.05,-0.48,421040.88,439917.8162,10.46
000001.SZ,20160119,10.45,10.78,10.41,10.71,0.3,2.88,501109.08,532074.6995,10.41
000001.SZ,20160120,10.7,10.8,10.44,10.54,-0.17,-1.59,603752.5,640968.9469,10.71
000001.SZ,20160121,10.48,10.75,10.32,10.32,-0.22,-2.09,606145.11,638127.8768,10.54
000001.SZ,20160122,10.4,10.45,10.22,10.4,0.08,0.78,466752.14,482984.4504,10.32
000001.SZ,20160125,10.4,10.44,10.33,10.37,-0.03,-0.29,376431.72,390734.8767,10.4
000001.SZ,20160126,10.32,10.32,9.86,9.87,-0.5,-4.82,647901.14,653561.5934,10.37
000001.SZ,20160127,9.93,9.98,9.6,9.88,0.01,0.1,569037.05,558510.6409,9.87
000001.SZ,20160128,9.82,9.89,9.65,9.69,-0.19,-1.92,302540.78,296055.3192,9.88
000001.SZ,20160129,9.74,10.08,9.69,10,0.31,3.2,544435.76,540544.4596,9.69
000001.SZ,20160201,9.98,10.01,9.74,9.8,-0.2,-2,417732.14,412635.6426,10
000001.SZ,20160202,9.8,10.03,9.78,9.95,0.15,1.53,369104.16,367360.4997,9.8
000001.SZ,20160203,9.85,9.89,9.77,9.85,-0.1,-1.01,274572.17,269997.8356,9.95
000001.SZ,20160204,9.89,10,9.88,9.95,0.1,1.02,373099.47,370586.1875,9.85
000001.SZ,20160205,9.96,9.97,9.91,9.92,-0.03,-0.3,270893.34,269184.3835,9.95
000001.SZ,20160215,9.66,9.85,9.65,9.79,-0.13,-1.31,278499.46,271173.3724,9.92
